,Gly,Ala,Val,Leu,Ile,Asp,Glu,Gln,Lactate,Acetate,Succinate,Citrate,Glycerol,Choline,GPC,PhosChol,EtAmine,PhosEtAmine,myo-Inositol,Inosine,3OHbut,Creatine,GSH,Ascorbate,Taurine,Betaine,Formate
F0_CTRL1,-0.492292997,0.330301216,0.132084323,0.127916981,0.43468158,-0.515822532,-0.082289828,0.133053385,0.006484836,0.08116897,-0.257155177,-0.177312583,0.245106032,-0.10453457,-0.005970648,-0.017815589,0.225345764,0.17463848,0.168674083,-0.009408516,0.235012146,-0.148697381,0.116068922,-0.578487718,0.086223456,-0.289222605,0.18224997
F0_CTRL2,0.187424702,0.050516246,-0.14925667,0.151444491,-0.024075719,-0.445927702,0.033765113,-0.079878488,-0.123880262,0.041079954,-0.13137761,0.37247331,0.055867902,-0.103548742,0.012942048,-0.053454645,-0.034279567,-0.029390658,0.038839735,0.148261074,-0.122091791,-0.066110277,-0.850773247,0.025293119,-0.11191812,-0.032328218,1.240384023
F0_CTRL3,0.128892226,-0.097240915,0.571236776,-0.162989007,-0.467974102,0.031001192,0.268521385,-0.020088579,0.471156542,-0.105677033,0.496222207,-0.282041178,0.087081456,0.294742649,0.10627764,0.337910238,-0.120318287,0.070572562,-0.128693809,-0.378017122,0.604587611,0.644718695,-0.567583623,-0.138462895,0.205032095,0.65624109,-2.505107815
F0_CTRL4,0.149319897,-0.086891467,-0.125260792,-0.146646017,-0.258725846,0.634580959,-0.048616606,-0.085249788,-0.045128249,0.011777247,-0.477789015,0.110273131,-0.175982534,-0.035347928,-0.214813313,-0.118886757,-0.183997367,-0.062864493,0.027674011,0.250836115,-0.222642595,-0.12531402,0.707146447,0.336433954,0.008994102,-0.071066243,0.248187166
F0_CTRL5,0.026656171,-0.19668508,-0.428803636,0.030273552,0.316094087,0.296168083,-0.171380065,0.05216347,-0.308632868,-0.028349138,0.370099596,-0.02339268,-0.212072857,-0.051311409,0.101564272,-0.147753247,0.113249457,-0.152955892,-0.106494019,-0.011671551,-0.494865371,-0.304597017,0.5951415,0.35522354,-0.188331532,-0.263624024,0.834286656
F0_HFD1,0.791282584,0.041936871,-0.056320246,-0.153036916,-2.482942352,0.359727826,0.058621566,0.252842791,-0.028133121,-0.482318608,-0.735184295,0.263764458,0.210665334,-0.486301425,0.164405683,-0.058124039,-0.259329419,-0.125747043,0.166081544,-0.136686764,-0.093436079,0.139760203,0.192761301,1.087820712,0.059424946,0.504785157,0.803679332
F0_HFD2,0.368062539,-0.057077478,-0.165739271,-0.571652798,-0.96077907,0.217981161,-0.053645602,0.077190414,-0.018095315,-0.670178754,-0.333175076,-0.029794385,0.151998187,-0.401850667,0.378843433,-0.131664729,-0.233987857,-0.152811849,0.100941816,-0.637517062,-0.293083797,-0.211848896,0.680496395,0.6640131,-0.116804205,0.188828113,2.211351653
F0_HFD3,0.505917553,-0.247125455,-0.083952385,-0.231314687,-0.338964244,-0.00754144,-0.159155946,0.27705999,-0.035994756,-0.886020718,-1.395505596,0.043797333,0.330936757,-0.28259125,0.595770001,0.053966778,0.125885664,0.038291695,0.059901329,-0.069745289,-0.178250645,0.032811911,0.845991833,0.524010659,0.130758919,0.398451319,-0.047389328
F0_HFD4,0.507965705,0.087622746,-0.214639016,-0.31851702,-0.015873683,0.552051022,-0.036171514,0.263735492,-0.167897003,-0.728935814,-0.873548924,-0.019732712,0.250150128,-0.520570034,0.457241058,-0.146462299,0.000716869,-0.116323622,0.087787603,-0.20254391,-0.265303052,-0.186947251,1.048166496,1.007030591,0.159463792,0.038187777,-0.646653424
F0_HFD5,0.788089757,-0.245887963,-0.152780341,-0.8270161,-0.036193685,0.144464426,0.137448145,-0.031636088,-0.057689523,-0.639501393,-0.853029231,0.312831173,0.311001164,-0.402917617,0.447112084,0.123211501,-0.055350943,0.133081663,0.203690558,-0.028909351,-0.151142872,0.176715088,0.794685988,1.02450356,0.016526551,0.557413942,-1.688720496
F0_HFD6,-0.284136498,0.032924421,-0.228949937,-0.331374254,-0.191273817,-0.440530479,0.085191659,0.233110575,-0.302242948,-0.658398053,0.616706956,-0.303962636,0.489806259,-0.731793985,0.796913083,0.134123557,-0.02420298,0.215165116,0.216506285,-1.126846169,-0.266335691,0.007208331,1.278659232,0.504408839,-0.024807649,0.214056795,0.090073989
F0_HFDt1,-0.076922703,0.17314373,-0.049216067,-0.045890872,0.195180632,-0.248151994,0.069771445,0.154830757,0.033566752,-0.609505841,-0.335114182,-0.799161454,0.227817347,-0.092695831,0.184121149,-0.073250512,-0.125469534,-0.126077191,-0.117066955,-0.026946542,-0.134282139,-0.050079231,0.905646024,-0.027932165,0.165936444,-0.04972929,0.877478222
F0_HFDt2,0.093426506,0.343429464,-0.021988517,-0.118602093,-0.128920814,-0.377638325,0.0404656,0.222572199,-0.013729791,-0.916768729,1.830662239,-0.515437171,-0.102232002,-0.30803309,0.23622099,-0.256827509,-0.591438198,-0.152774793,-0.23090822,-0.402616295,-0.124902123,-0.097846533,0.85732841,0.51281973,0.208480378,-0.226542221,0.24180091
F0_HFDt3,-0.031620351,-0.027742785,-0.512378043,-0.258417682,-0.09465868,-0.088492255,-0.018090419,0.291400809,-0.541445189,-0.513318304,1.983893599,-0.514123067,-0.110844801,-0.289663068,0.421889737,-0.076093299,-0.21341154,-0.233875378,-0.025545532,-0.43666674,-0.532268138,-0.089769049,0.984460077,0.322079499,0.075367615,0.042738954,0.486594031
F0_HFDt4,0.238696469,-0.038751351,-0.327374199,-0.288578017,0.037999931,0.309078472,0.011218566,0.190987039,-0.401921943,-0.737581834,0.962786166,0.042070723,-0.000834201,-0.637580288,0.417452043,-0.122981525,-0.189813015,-0.319443611,-0.142793939,-0.741355324,-0.339276094,-0.180065515,0.398636957,0.872461402,-0.019464154,-0.044569084,1.050996322
F0_HFDt5,0.508191847,0.153172914,-0.449257028,-0.10421947,0.126057622,0.081434858,0.039802209,0.161988517,-0.374050734,-0.741422132,0.801715886,0.151261383,-0.139224983,-0.383737805,0.22752595,-0.159355668,-0.242773966,-0.292624998,-0.36556869,-0.17860317,-0.504546128,-0.181158135,0.834570552,1.108331878,0.015484625,-0.296633562,0.203638229
