,Gly,Ala,Val,Leu,Ile,Asp,Glu,Gln,Lactate,Acetate,Succinate,Citrate,Glycerol,Choline,GPC,PhosChol,EtAmine,PhosEtAmine,myo-Inositol,Hypoxanthine,Inosine,3OHbut,Creatine,GSH,Ascorbate,Taurine,Betaine,Formate
F2_CTRL1,0.01904309,0.223597961,0.117845087,0.067175299,-0.01881625,-0.036669703,-0.005184161,0.005379478,0.03225638,0.319274402,0.004340915,-0.106007791,0.086825177,0.207500941,-0.214625407,-0.048838535,-0.205669677,-0.084618503,-0.024868683,0.086063368,0.029534613,-0.26185335,0.008400454,0.109019396,0.023500589,-0.00378713,0.021076901,-0.349894861
F2_CTRL2,0.085150443,-0.418932821,-0.212001228,-0.078166046,-0.182407424,-0.044066142,-0.114557601,0.20128067,-0.089666236,0.062904733,0.012437579,0.064289205,0.010220996,-0.058645287,0.064854087,0.080225347,0.145940745,0.087896681,0.075582951,0.066087736,0.039104349,-0.161535465,0.048299211,0.067097912,0.143095713,0.044852167,0.03788715,0.022770573
F2_CTRL3,-0.236831986,0.001983071,0.013363992,-0.085806372,0.115926441,0.255016871,-0.079539412,-0.007651686,-0.107713517,0.130674922,-0.022877617,0.061281328,-0.12624444,-0.488798748,0.05868454,-0.216702589,0.03012584,-0.171568141,-0.115339236,0.091204145,-0.19591072,0.205916879,-0.346203355,0.217745346,0.303697705,-0.118929488,-0.314351863,1.14884809
F2_CTRL4,0.040869681,0.173431422,-0.130347423,-0.04114468,-0.172574875,-0.290024743,0.065020108,-0.121598129,0.150344947,-0.52949501,0.188456999,-0.026864381,0.255604968,-0.029608578,0.102756273,0.152584429,-0.100030132,0.1120853,0.091309599,0.195127117,-0.123699732,0.026537723,0.194410028,0.125251744,0.21687354,0.058617304,0.164029704,-0.747923204
F2_CTRL5,0.123072235,0.010760612,0.062176462,0.044732882,0.021925695,0.153232672,0.099638997,-0.026349197,0.093518073,0.041639971,-0.371167516,0.132120814,-0.148302897,0.227809405,-0.020713844,0.101712287,-0.086021099,0.129019247,0.018029713,-0.264517218,0.212970834,0.068173291,0.1146309,-0.686877833,-0.743134955,0.00621502,0.129633434,0.556072016
F2_CTRL6,-0.031303463,0.009159754,0.148963111,0.093208915,0.235946413,-0.037488955,0.034622069,-0.051061136,-0.078739647,-0.024999017,0.188809639,-0.124819177,-0.078103804,0.141742267,0.009044351,-0.06898094,0.215654322,-0.072814584,-0.044714344,-0.173965147,0.038000656,0.122760922,-0.019537237,0.167763435,0.055967408,0.013032127,-0.038275326,-0.629872613
F2_HFD1,-0.097344707,-0.313397673,-0.144068179,-0.265107005,-0.155664514,0.141229631,-0.180210693,-0.10418498,-0.184025134,1.124993449,0.007390029,-0.013478036,-0.023221884,-0.445494009,0.012376292,-0.154463132,-0.03378024,-0.186486025,-0.090715923,0.539692308,-0.473938434,0.195727731,-0.278694436,-0.152998406,0.548633661,-0.144442393,-0.234023601,1.105696306
F2_HFD2,0.256903599,-0.144738451,-0.239810062,-0.303488685,-0.368915046,-0.078244751,-0.018671405,-0.098878942,0.017661747,0.432801543,0.035095093,0.03322823,0.038851979,-0.31903516,0.127270084,-0.017283255,-0.021971011,0.006683403,-0.029221324,0.29013956,-0.06364136,-0.131275705,-0.061866457,-0.724543372,0.490097228,-0.034518851,-0.024462749,0.95183412
F2_HFD3,0.339942079,0.082894091,0.063984077,0.280746906,0.174793503,0.726450284,0.211164279,-0.096236642,0.205306685,-1.044971064,0.265999055,-0.083461459,0.278769559,0.050167158,-0.466557452,0.211338804,-0.337501405,-0.31737006,0.133573075,-0.221800272,0.196642544,0.28478482,0.364115958,-1.353691262,-0.388959716,0.139317496,0.376953225,-0.076394268
F2_HFD4,0.409715799,0.024846867,-0.14920621,-0.036314424,-0.140991869,0.054986216,0.343681287,0.143847165,0.210328906,-0.365710833,0.277417797,0.200490044,0.390270028,0.123762962,-0.572442417,0.400022572,-0.291481689,-0.505410656,0.177130474,0.06018508,0.38693076,0.308290211,0.608659411,-2.536924474,-0.255514202,0.220012981,0.607375443,-0.09395723
F2_HFD5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F2_HFD6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F2_HFDt1,0.013318474,-0.204311676,0.175911281,0.065595792,0.059992224,0.096612722,0.086214819,-0.201411161,-0.193396376,-0.269341631,0.360576721,0.117191036,-0.097272358,-0.545923923,0.241310635,0.033210565,0.022323329,0.029715615,-0.002500227,0.339598623,-1.021374069,0.917898389,-0.013970475,-0.541954969,0.792996473,-0.104629171,-0.010207397,-0.146173267
F2_HFDt2,-0.084456261,-0.172617615,0.263748315,0.055348497,0.214939234,0.259573831,0.00486064,-0.106832147,-0.206327893,-0.073509635,0.182026916,0.069087555,-0.247000965,-0.594786268,0.253614737,-0.112541231,0.262842159,-0.057316253,-0.006541752,0.144450206,-0.898033182,0.284945613,-0.25680625,-0.167180426,0.832648723,-0.192915418,-0.231594199,0.580373071
F2_HFDt3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F2_HFDt4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F2_HFDt5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F2_HFDt6,-0.140395248,-0.237828883,0.042461194,-0.046116622,0.095697912,0.121522579,0.00231706,-0.177595445,-0.222062662,-0.357911497,0.137525841,0.014745849,-0.322039665,-0.439364817,0.208548432,-0.001734215,0.206814009,0.059027106,-0.040067301,0.391951077,-0.540036935,0.348482335,-0.091587484,0.159406023,0.765951812,-0.023567501,-0.046294437,0.132151484
